,precision,recall,f1-score,support
Class 0,0.6,0.5555555555555556,0.5769230769230769,54.0
Class 1,0.5384615384615384,0.12962962962962962,0.208955223880597,54.0
Class 2,0.3728813559322034,0.8148148148148148,0.5116279069767442,54.0
Class 3,0.7647058823529411,0.48148148148148145,0.5909090909090909,54.0
Class 4,0.7272727272727273,0.7407407407407407,0.7339449541284404,54.0
accuracy,0.5444444444444444,0.5444444444444444,0.5444444444444444,0.5444444444444444
macro avg,0.600664300803882,0.5444444444444445,0.5244720505635898,270.0
weighted avg,0.600664300803882,0.5444444444444444,0.5244720505635898,270.0
