true_class,n_images,mean_prob_class_0,mean_prob_class_1,mean_prob_class_2,mean_prob_class_3,mean_prob_class_4
Class 0,54,0.44838184118270874,0.17237131297588348,0.36941587924957275,0.003199319588020444,0.006631630938500166
Class 1,54,0.292786180973053,0.21404072642326355,0.47805511951446533,0.004759030882269144,0.010358970612287521
Class 2,54,0.1695246696472168,0.13884694874286652,0.6418448686599731,0.03411288559436798,0.015670599415898323
Class 3,54,0.01647159270942211,0.02107631228864193,0.19439542293548584,0.4651449918746948,0.3029116094112396
Class 4,54,0.009211735799908638,0.011163178831338882,0.10067271441221237,0.19854718446731567,0.6804051995277405
