true_class,n,mean_confidence,median_confidence,mean_confidence_when_correct,mean_confidence_when_wrong
Class 0,54,0.5801977515220642,0.5266934633255005,0.5980632305145264,0.5578659176826477
Class 1,54,0.589257538318634,0.561408519744873,0.48739194869995117,0.6044290065765381
Class 2,54,0.6913485527038574,0.6757230758666992,0.7265357375144958,0.5365248322486877
Class 3,54,0.7632321715354919,0.7853371500968933,0.8080525994300842,0.7216132283210754
Class 4,54,0.8176327347755432,0.8564879894256592,0.8525636792182922,0.7178301811218262
