,precision,recall,f1-score,support
Class 0,0.6111111111111112,0.2037037037037037,0.3055555555555556,54.0
Class 1,0.0,0.0,0.0,54.0
Class 2,0.33112582781456956,0.9259259259259259,0.4878048780487805,54.0
Class 3,0.7666666666666667,0.42592592592592593,0.5476190476190477,54.0
Class 4,0.6470588235294118,0.8148148148148148,0.7213114754098361,54.0
accuracy,0.4740740740740741,0.4740740740740741,0.4740740740740741,0.4740740740740741
macro avg,0.47119248582435186,0.47407407407407404,0.41245819132664396,270.0
weighted avg,0.47119248582435186,0.4740740740740741,0.41245819132664396,270.0
