,precision,recall,f1-score,support
Normal,0.7664233576642335,0.9210526315789473,0.8366533864541833,342.0
Cataract,0.8780487804878049,0.9230769230769231,0.9,156.0
Diabetic Retinopathy,0.9515151515151515,0.9515151515151515,0.9515151515151515,165.0
Glaucoma,0.8671328671328671,0.5636363636363636,0.6831955922865014,220.0
accuracy,0.8380520951302378,0.8380520951302378,0.8380520951302378,0.8380520951302378
macro avg,0.8657800392000142,0.8398202674518463,0.842841032563959,883.0
weighted avg,0.84582290922593,0.8380520951302378,0.8310741658780985,883.0
